rank,title,studio,worldwide,domestic,dom_pct,overseas,os_pct
39,Paddington 2,WB,227300000.0,40900000.0,18.0,186400000.0,82.0
40,Smallfoot,WB,214100000.0,83200000.0,38.9,130900000.0,61.1
41,Creed II,MGM,214000000.0,115700000.0,54.1,98300000.0,45.9
42,Disney's Christopher Robin,BV,197700000.0,99200000.0,50.2,98500000.0,49.8
43,The Equalizer 2,Sony,190400000.0,102100000.0,53.6,88300000.0,46.4
44,The Nutcracker and the Four Realms,BV,174000000.0,54900000.0,31.5,119100000.0,68.5
45,The Mule,WB,172100000.0,103800000.0,60.3,68300000.0,39.7
46,Insidious: The Last Key,Uni.,167900000.0,67700000.0,40.4,100100000.0,59.6
47,The Predator (2018),Fox,160500000.0,51000000.0,31.8,109500000.0,68.2
48,Johnny English Strikes Again,Uni.,159000000.0,4400000.0,2.8,154500000.0,97.2
49,Red Sparrow,Fox,151600000.0,46900000.0,30.9,104700000.0,69.1
50,The First Purge,Uni.,137000000.0,69500000.0,50.7,67500000.0,49.3
51,A Wrinkle in Time,BV,132699999.99999999,100500000.0,75.7,32200000.000000004,24.3
52,The House With A Clock In Its Walls,Uni.,131500000.0,68500000.0,52.1,62900000.0,47.9
53,Instant Family,Par.,120600000.0,67400000.0,55.9,53200000.0,44.1
54,The Commuter,LGF,119900000.0,36300000.0,30.3,83600000.0,69.7
55,Game Night,WB (NL),117700000.0,69200000.0,58.8,48500000.0,41.2
56,The Monkey King 3,WGUSA,115100000.0,187000.0,0.2,114900000.0,99.8
57,First Man,Uni.,105700000.0,44900000.0,42.5,60700000.0,57.5
58,Night School (2018),Uni.,103100000.0,77300000.0,75.0,25800000.0,25.0
59,Alpha,Studio 8,98200000.0,35900000.0,36.5,62300000.0,63.5
61,The Favourite,FoxS,95900000.0,34400000.0,35.8,61600000.0,64.2
62,Truth or Dare,Uni.,95300000.0,41400000.0,43.4,53900000.0,56.6
63,I Feel Pretty,STX,94500000.0,48800000.0,51.6,45700000.0,48.4
64,Blockers,Uni.,94000000.0,60300000.0,64.1,33700000.0,35.9
65,Goosebumps 2: Haunted Halloween,Sony,93300000.0,46700000.0,50.0,46600000.0,50.0
66,BlacKkKlansman,Focus,92600000.0,49300000.0,53.2,43300000.0,46.8
60,A Simple Favor,LGF,92400000.0,53500000.0,58.0,38800000.0,42.0
67,Overboard (2018),PNT,91200000.0,50300000.0,55.1,40900000.0,44.9
68,Sherlock Gnomes,Par.,90300000.0,43200000.0,47.9,47100000.0,52.1
69,Robin Hood (2018),LG/S,84800000.0,30800000.0,36.4,54000000.0,63.6
70,Mortal Engines,Uni.,83600000.0,16000000.0,19.1,67700000.0,80.9
71,How Long Will I Love U,WGUSA,82900000.0,747000.0,0.9,82100000.0,99.1
72,Den of Thieves,STX,80500000.0,44900000.0,55.8,35600000.0,44.2
73,Hereditary,A24,79300000.0,44100000.0,55.5,35300000.0,44.5
74,Tag,WB (NL),78100000.0,54700000.0,70.1,23400000.0,29.9
75,Vice,Annapurna,76100000.0,47800000.0,62.9,28200000.0,37.1
76,Widows,Fox,76000000.0,42400000.0,55.8,33600000.0,44.2
77,Sicario: Day of the Soldado,Sony,75800000.0,50100000.0,66.0,25800000.0,34.0
